개방자치단체코드,관리번호,인허가일자,영업상태명,폐업일자,소재지면적,소재지우편번호,도로명우편번호,사업장명,업태구분명,데이터갱신구분,건물소유구분명,건물지상층수,건물지하층수,남성종사자수,다중이용업소여부,데이터갱신시점,도로명주소,발한실여부,사용끝지상층,사용끝지하층,사용시작지상층,사용시작지하층,상세영업상태명,상세영업상태코드,여성종사자수,영업상태코드,욕실수,위생업태명,전화번호,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표정보(X),좌표정보(Y),지번주소,최종수정시점
3000000,3000000-202-1992-00504,1992-04-30,폐업,2003-10-15,298.24,110-846,,올림피아호텔서울,목욕장업 기타,I,,,,,N,2025-12-15 16:15:28,,N,,2,,,폐업,02,,03,,목욕장업 기타,0200000000,,,,,,서울특별시 종로구 평창동 59-1 ,2003-03-04 00:00:00
3000000,3000000-202-1995-00471,1995-01-12,폐업,1996-12-10,430.65,110-130,,청자목욕탕,공동탕업,I,,0,0,,N,2025-12-15 16:15:28,,N,,,0,0,폐업,02,,03,0,공동탕업,027381202,,,,,,서울특별시 종로구 청진동 225-0 ,2001-11-20 00:00:00
3000000,3000000-202-1995-00472,1995-09-11,폐업,2003-07-10,696.82,110-826,,마동탕,공동탕업,I,,,,,N,2025-12-15 16:15:28,,N,,,,,폐업,02,,03,,공동탕업,0222367757,,,,201432.311420646    ,452111.90290939     ,서울특별시 종로구 숭인동 318-1 ,2003-08-22 00:00:00
3000000,3000000-202-1995-00473,1995-10-19,폐업,2004-07-31,340.30,110-140,,삼오대중탕,공동탕업,I,,4,2,,N,2025-12-15 16:15:28,,Y,,2,,,폐업,02,,03,2,공동탕업,027399370,,,,198322.14210379     ,452329.537101006    ,서울특별시 종로구 수송동 46-10 ,2004-07-31 00:00:00
3000000,3000000-202-1995-00490,1995-09-14,폐업,1996-08-27,918.33,110-090,,독립문목욕탕,공동탕업,I,,0,0,,N,2025-12-15 16:15:28,,N,,,0,0,폐업,02,,03,0,공동탕업,027350516,,,,,,서울특별시 종로구 교북동 11-3 ,2001-09-29 00:00:00
3000000,3000000-202-1995-00491,1995-09-14,폐업,1996-11-07,422.19,110-350,,월드대중탕,공동탕업,I,,0,0,,N,2025-12-15 16:15:28,,N,,,0,0,폐업,02,,03,0,공동탕업,027631106,,,,198966.466796388    ,452608.062544497    ,서울특별시 종로구 운니동 65-1 ,2001-11-20 00:00:00
3000000,3000000-202-1996-00474,1996-07-01,폐업,2010-04-29,460.31,110-844,,예일대중탕,공동탕업,I,,,,,N,2025-12-15 16:15:28,,N,,2,,,폐업,02,,03,,공동탕업,027416679,,,,200342.282272788    ,452556.296390572    ,서울특별시 종로구 충신동 60 ,2003-03-04 00:00:00
3000000,3000000-202-1996-00475,1996-08-30,폐업,2018-09-18,917.45,110-090,03165,독립문사우나,공동탕업,I,,,,,N,2025-12-15 16:15:28,서울특별시 종로구 송월길 147 (교북동),N,2,1,2,1,폐업,02,,03,,공동탕업,027350516,,,,196578.438801188    ,452129.33094623     ,서울특별시 종로구 교북동 101 ,2018-09-18 15:06:39
3000000,3000000-202-1996-00476,1996-11-01,폐업,2025-06-10,298.67,110-320,03133,낙원동사우나,공동탕업,I,,,,,N,2025-12-15 16:15:28,서울특별시 종로구 삼일대로26길 7 (낙원동),N,,2,,,폐업,02,,03,,공동탕업,027432005,,,,198920.853316964    ,452332.712151374    ,서울특별시 종로구 낙원동 75 ,2025-06-10 17:36:22
3000000,3000000-202-1996-00477,1996-12-05,폐업,1998-01-17,422.19,110-350,,월드대중탕,공동탕업,I,,0,0,,N,2025-12-15 16:15:28,,N,,,0,0,폐업,02,,03,0,공동탕업,027631106,,,,198966.466796388    ,452608.062544497    ,서울특별시 종로구 운니동 65-1 ,2001-11-20 00:00:00
